ID,MaternalID,Maternal.Mass,Treatment,Egg_Mass,Mass,SVL,Relative.Egg,Relative.Mass,Relative.SVL
0001/3-64,F0001/3,2.4,Autotomy,0.168,NA,NA,0.07,NA,NA
0001/3-79,F0001/3,2.4,Autotomy,0.179,0.083,14.6,0.074583333,0.034583333,6.083333333
0001/3-101,F0001/3,2.4,Autotomy,0.173,0.148,18.2,0.072083333,0.061666667,7.583333333
0001/3-112,F0001/3,2.4,Autotomy,0.165,0.169,18,0.06875,0.070416667,7.5
0001/3-143,F0001/3,2.4,Autotomy,0.215,NA,NA,0.089583333,NA,NA
0001/3-156,F0001/3,1.9,Autotomy,0.167,NA,NA,0.087894737,NA,NA
0002-76,F0002,2.2,Autotomy,0.124,0.153,17.3,0.056363636,0.069545455,7.863636364
0002-99,F0002,2.2,Autotomy,0.14,0.145,17.8,0.063636364,0.065909091,8.090909091
0002-124,F0002,2.2,Autotomy,0.129,NA,NA,0.058636364,NA,NA
0002-199,F0002,1.9,Autotomy,0.15,NA,NA,0.078947368,NA,NA
0005-82,F0005,2.4,Control,0.199,0.156,17.5,0.082916667,0.065,7.291666667
0005-103,F0005,2.4,Control,0.183,0.153,17.9,0.07625,0.06375,7.458333333
0005-119,F0005,2.4,Control,0.179,NA,NA,0.074583333,NA,NA
0005-126,F0005,2.4,Control,0.144,NA,NA,0.06,NA,NA
0005-142,F0005,2.4,Control,0.198,NA,NA,0.0825,NA,NA
0005-149,F0005,2.2,Control,0.162,NA,NA,0.073636364,NA,NA
0005-163,F0005,2.2,Control,0.147,NA,NA,0.066818182,NA,NA
0005-187,F0005,2.2,Control,0.153,0.144,16.19,0.069545455,0.065454545,7.359090909
0005-211,F0005,1.91,Control,0.17,0.153,19.39,0.089005236,0.080104712,10.15183246
0005-225,F0005,1.91,Control,0.136,NA,NA,0.071204188,NA,NA
0010-63,F0010,2.1,Control,0.179,0.184,19.1,0.085238095,0.087619048,9.095238095
0010-131,F0010,2.1,Control,0.153,NA,NA,0.072857143,NA,NA
0010-161,F0010,2,Control,0.173,NA,NA,0.0865,NA,NA
0010-186,F0010,2,Control,0.189,0.197,19.28,0.0945,0.0985,9.64
0020-72,F0020,2,Autotomy,0.178,0.151,18,0.089,0.0755,9
0020-98,F0020,2,Autotomy,0.127,NA,NA,0.0635,NA,NA
0020-117,F0020,2,Autotomy,0.155,NA,NA,0.0775,NA,NA
0020-138,F0020,2,Autotomy,0.187,0.158,18.1,0.0935,0.079,9.05
0020-148,F0020,1.9,Autotomy,0.172,NA,NA,0.090526316,NA,NA
0020-160,F0020,1.9,Autotomy,0.198,NA,NA,0.104210526,NA,NA
0020-181,F0020,1.9,Autotomy,0.185,0.189,17.5,0.097368421,0.099473684,9.210526316
0050-65,F0050,1.9,Control,0.226,0.144,16.3,0.118947368,0.075789474,8.578947368
0050-110,F0050,1.9,Control,0.196,0.156,18,0.103157895,0.082105263,9.473684211
0050-141,F0050,1.9,Control,0.186,NA,NA,0.097894737,NA,NA
0050-182,F0050,2,Control,0.178,0.143,17.56,0.089,0.0715,8.78
0050-198,F0050,2,Control,0.142,0.175,16.86,0.071,0.0875,8.43
0050-223,F0050,2,Control,0.152,0.173,18.33,0.076,0.0865,9.165
0151/3-67,F0151/3,2.2,Control,0.182,0.152,16.3,NA,NA,7.409090909
0151/3-118,F0151/3,2.2,Control,0.188,NA,NA,NA,NA,NA
0151/3-135,F0151/3,2.2,Control,0.157,NA,NA,NA,NA,NA
0151/3-165,F0151/3,2.2,Control,0.189,NA,NA,NA,NA,NA
0151/3-174,F0151/3,2.2,Control,0.193,0.198,19.55,NA,NA,8.886363636
0221/3-85,F0221/3,1.9,Autotomy,0.18,0.176,18.5,0.094736842,0.092631579,9.736842105
0221/3-97,F0221/3,1.9,Autotomy,0.167,NA,NA,0.087894737,NA,NA
0221/3-169,F0221/3,1.9,Autotomy,0.183,NA,NA,0.096315789,NA,NA
0221/3-196,F0221/3,1.9,Autotomy,0.163,NA,NA,0.085789474,NA,NA
0300-66,F0300,2,Autotomy,0.167,0.142,18.1,0.0835,0.071,9.05
0300-93,F0300,2,Autotomy,0.171,0.158,17.9,0.0855,0.079,8.95
0300-121,F0300,2,Autotomy,0.148,NA,NA,0.074,NA,NA
0300-154,F0300,1.9,Autotomy,0.166,NA,NA,0.087368421,NA,NA
0300-176,F0300,1.9,Autotomy,0.159,0.16,18.01,0.083684211,0.084210526,9.478947368
0300-197,F0300,1.9,Autotomy,0.15,0.162,18.04,0.078947368,0.085263158,9.494736842
0300-214,F0300,1.8,Autotomy,0.124,NA,NA,0.068888889,NA,NA
0300-228,F0300,1.8,Autotomy,0.134,0.144,18.09,0.074444444,0.08,10.05
0502-73,F0502,2.1,Autotomy,0.192,0.155,18.1,0.091428571,0.073809524,8.619047619
0502-91,F0502,2.1,Autotomy,0.138,0.154,17.3,0.065714286,0.073333333,8.238095238
0502-116,F0502,2.1,Autotomy,0.174,NA,NA,0.082857143,NA,NA
0502-146,F0502,1.8,Autotomy,0.146,NA,NA,0.081111111,NA,NA
0502-168,F0502,1.8,Autotomy,0.121,NA,NA,0.067222222,NA,NA
0502-189,F0502,1.8,Autotomy,0.16,0.192,18.42,0.088888889,0.106666667,10.23333333
0502-200,F0502,1.71,Autotomy,0.166,0.154,18.45,0.097076023,0.09005848,10.78947368
0502-215,F0502,1.71,Autotomy,0.144,NA,NA,0.084210526,NA,NA
1/2/5105-75,F1/2/5105,2.2,Autotomy,0.228,0.174,18,0.103636364,0.079090909,8.181818182
1/2/5105-94,F1/2/5105,2.2,Autotomy,0.17,0.177,17.4,0.077272727,0.080454545,7.909090909
1/2/5105-122,F1/2/5105,2.2,Autotomy,0.198,NA,NA,0.09,NA,NA
1/2/5105-191,F1/2/5105,2,Autotomy,0.174,0.167,18.8,0.087,0.0835,9.4
1/2/5105-217,F1/2/5105,2.2,Autotomy,0.191,NA,NA,0.086818182,NA,NA
1/201/21/2/3-147,F1/201/21/2/3,1.9,Autotomy,0.156,NA,NA,0.082105263,NA,NA
1/201/21/2/3-209,F1/201/21/2/3,1.8,Autotomy,0.206,0.201,19.29,0.114444444,0.111666667,10.71666667
1/3103-70,F1/3103,2.2,Control,0.161,0.146,18.5,0.073181818,0.066363636,8.409090909
1/3103-102,F1/3103,2.2,Control,0.189,0.172,17.2,0.085909091,0.078181818,7.818181818
1/3103-113,F1/3103,2.2,Control,0.178,0.173,18.8,0.080909091,0.078636364,8.545454545
1/3103-127,F1/3103,2.2,Control,0.158,NA,NA,0.071818182,NA,NA
1/3103-144,F1/3103,2.2,Control,0.185,NA,NA,0.084090909,NA,NA
1/3103-164,F1/3103,1.8,Control,0.17,NA,NA,0.094444444,NA,NA
1/3103-195,F1/3103,1.8,Control,0.165,0.166,18.47,0.091666667,0.092222222,10.26111111
1/3103-212,F1/3103,1.9,Control,0.169,0.133,17.68,0.088947368,0.07,9.305263158
1/3103-220,F1/3103,1.9,Control,0.142,NA,NA,0.074736842,NA,NA
1000-62,F1000,2,Autotomy,0.163,NA,NA,0.0815,NA,NA
1000-87,F1000,2,Autotomy,0.155,0.159,18.4,0.0775,0.0795,9.2
1000-104,F1000,2,Autotomy,0.158,0.132,16.6,0.079,0.066,8.3
1000-152,F1000,2,Autotomy,0.189,NA,NA,0.0945,NA,NA
11/21/23-68,F11/21/23,2.4,Control,0.171,NA,NA,0.07125,NA,NA
11/21/23-77,F11/21/23,2.4,Control,0.152,NA,NA,0.063333333,NA,NA
11/21/23-95,F11/21/23,2.4,Control,0.159,0.122,15.7,0.06625,0.050833333,6.541666667
11/21/23-177,F11/21/23,1.7,Control,0.17,NA,NA,0.1,NA,NA
11/21/23-184,F11/21/23,1.7,Control,0.145,0.143,17.15,0.085294118,0.084117647,10.08823529
11/21/23-204,F11/21/23,2.36,Control,0.149,NA,NA,0.063135593,NA,NA
11/21/23-205,F11/21/23,2.36,Control,0.171,0.156,17.51,0.072457627,0.066101695,7.419491525
11/21/23-222,F11/21/23,2.36,Control,0.147,0.162,17.77,0.062288136,0.068644068,7.529661017
1100-74,F1100,2,Control,0.183,0.14,17.9,0.0915,0.07,8.95
1100-105,F1100,2,Control,0.172,0.166,17.5,0.086,0.083,8.75
1100-136,F1100,2,Control,0.175,NA,NA,0.0875,NA,NA
1100-153,F1100,2,Control,0.166,NA,NA,0.083,NA,NA
1100-175,F1100,2,Control,0.157,0.16,16.47,0.0785,0.08,8.235
1100-202,F1100,2.12,Control,0.166,NA,NA,0.078301887,NA,NA
1100-216,F1100,2.12,Control,0.133,NA,NA,0.062735849,NA,NA
1151/3-84,F1151/3,2.2,Autotomy,0.144,0.106,16.7,0.065454545,0.048181818,7.590909091
1151/3-109,F1151/3,2.2,Autotomy,0.187,0.117,17.2,0.085,0.053181818,7.818181818
1151/3-115,F1151/3,2.2,Autotomy,0.153,0.133,17.3,0.069545455,0.060454545,7.863636364
1151/3-128,F1151/3,2.2,Autotomy,0.199,NA,NA,0.090454545,NA,NA
1151/3-172,F1151/3,1.9,Autotomy,0.184,NA,NA,0.096842105,NA,NA
1251/3-61,F1251/3,2.3,Control,0.156,0.163,17.4,0.067826087,0.070869565,7.565217391
1251/3-92,F1251/3,2.3,Control,0.179,0.147,17.3,0.077826087,0.063913043,7.52173913
1251/3-120,F1251/3,2.3,Control,0.145,NA,NA,0.063043478,NA,NA
1251/3-140,F1251/3,2.3,Control,0.157,NA,NA,0.06826087,NA,NA
1251/3-157,F1251/3,2.2,Control,0.172,NA,NA,0.078181818,NA,NA
1251/3-183,F1251/3,2.2,Control,0.196,0.169,17.86,0.089090909,0.076818182,8.118181818
1251/3-201,F1251/3,1.98,Control,0.168,0.162,19.49,0.084848485,0.081818182,9.843434343
1251/3-221,F1251/3,1.98,Control,0.111,0.131,17.3,0.056060606,0.066161616,8.737373737
1500-89,F1500,2,Control,0.158,0.134,15.6,0.079,0.067,7.8
1500-106,F1500,2,Control,0.131,0.137,17.6,0.0655,0.0685,8.8
1500-132,F1500,2,Control,0.124,NA,NA,0.062,NA,NA
2/5130-81,F2/5130,2.5,Control,0.141,NA,NA,0.0564,NA,NA
2/5130-90,F2/5130,2.5,Control,0.141,NA,NA,0.0564,NA,NA
2/5130-145,F2/5130,2.5,Control,0.144,NA,NA,0.0576,NA,NA
2/5130-173,F2/5130,2.2,Control,0.102,NA,NA,0.046363636,NA,NA
2/5130-229,F2/5130,2,Control,0.117,NA,NA,0.0585,NA,NA
2/5131-83,F2/5131,2.5,Autotomy,0.172,0.129,17.6,0.0688,0.0516,7.04
2/5131-130,F2/5131,2.5,Autotomy,0.142,NA,NA,0.0568,NA,NA
2/5131-158,F2/5131,2.3,Autotomy,0.168,NA,NA,0.073043478,NA,NA
2/5131-190,F2/5131,2.3,Autotomy,0.161,0.163,18.28,0.07,0.070869565,7.947826087
2/5131-203,F2/5131,2.6,Autotomy,0.127,NA,NA,0.048846154,NA,NA
2005-171,F2005,2.1,Control,0.155,NA,NA,0.073809524,NA,NA
2005-219,F2005,2.3,Control,0.113,NA,NA,0.049130435,NA,NA
2332/3-69,F2332/3,2.1,Control,0.155,NA,NA,0.073809524,NA,NA
2332/3-88,F2332/3,2.1,Control,0.149,0.118,16.6,0.070952381,0.056190476,7.904761905
2332/3-107,F2332/3,2.1,Control,0.167,0.147,18.2,0.07952381,0.07,8.666666667
2332/3-123,F2332/3,2.1,Control,0.136,NA,NA,0.064761905,NA,NA
3030-114,F3030,1.9,Autotomy,0.143,NA,NA,0.075263158,NA,NA
3030-133,F3030,1.9,Autotomy,0.143,NA,NA,0.075263158,NA,NA
3030-134,F3030,1.9,Autotomy,0.135,0.136,16.5,0.071052632,0.071578947,8.684210526
3030-188,F3030,1.9,Autotomy,0.139,0.147,18.29,0.073157895,0.077368421,9.626315789
3030-213,F3030,1.8,Autotomy,0.168,0.151,18.24,0.093333333,0.083888889,10.13333333
3030-226,F3030,1.8,Autotomy,0.139,NA,NA,0.077222222,NA,NA
3130-159,F3130,1.8,Control,n/a,NA,NA,NA,NA,NA
3130-185,F3130,1.8,Control,0.166,NA,NA,0.092222222,NA,NA
3130-193,F3130,1.8,Control,0.157,0.157,16.57,0.087222222,0.087222222,9.205555556
3130-207,F3130,2.16,Control,0.163,0.145,16.74,0.075462963,0.06712963,7.75
3130-208,F3130,2.16,Control,0.202,0.155,18.95,0.093518519,0.071759259,8.773148148
3130-218,F3130,2.16,Control,0.137,NA,NA,0.063425926,NA,NA
3130-227,F3130,2.16,Control,0.145,0.153,16.65,0.06712963,0.070833333,7.708333333
3131-78,F3131,2,Autotomy,0.202,0.174,19.7,0.101,0.087,9.85
3131-100,F3131,2,Autotomy,0.194,0.174,19.5,0.097,0.087,9.75
3131-125,F3131,2,Autotomy,0.179,NA,NA,0.0895,NA,NA
3131-139,F3131,2,Autotomy,0.197,NA,NA,0.0985,NA,NA
3131-162,F3131,1.7,Autotomy,0.162,NA,NA,0.095294118,NA,NA
3131-194,F3131,1.7,Autotomy,0.154,0.193,18.7,0.090588235,0.113529412,11
3131-210,F3131,1.8,Autotomy,0.16,0.14,20.01,0.088888889,0.077777778,11.11666667
3131-224,F3131,1.8,Autotomy,0.152,NA,NA,0.084444444,NA,NA
3453-80,F3453,1.9,Autotomy,0.139,NA,NA,0.073157895,NA,NA
3453-96,F3453,1.9,Autotomy,0.146,0.141,18.4,0.076842105,0.074210526,9.684210526
3453-150,F3453,2.5,Autotomy,0.168,NA,NA,0.0672,NA,NA
3453-178,F3453,2.5,Autotomy,0.191,0.183,18.12,0.0764,0.0732,7.248
3453-192,F3453,2.5,Autotomy,0.154,0.179,17.8,0.0616,0.0716,7.12
3453-206,F3453,1.83,Autotomy,0.156,0.207,19.26,0.085245902,0.113114754,10.52459016
4100-71,F4100,2.1,Autotomy,0.153,NA,NA,0.072857143,NA,NA
4100-86,F4100,2.1,Autotomy,0.181,NA,NA,0.086190476,NA,NA
4100-108,F4100,2.1,Autotomy,0.168,NA,NA,0.08,NA,NA
4100-137,F4100,2.1,Autotomy,0.193,NA,NA,0.091904762,NA,NA
4100-155,F4100,2.1,Autotomy,0.199,NA,NA,0.094761905,NA,NA
4100-180,F4100,2.1,Autotomy,0.212,0.203,18.19,0.100952381,0.096666667,8.661904762
5301-111,F5301,1.9,Autotomy,0.153,0.14,17.7,0.080526316,0.073684211,9.315789474
5301-151,F5301,1.6,Autotomy,0.151,NA,NA,0.094375,NA,NA
5301-170,F5301,1.6,Autotomy,0.145,NA,NA,0.090625,NA,NA
